Region Code,Region,Commodity description,Estimate,Number of agricultural businesses,Type,Category,Process,Ranking
3,Queensland,Water use - Other crops n.e.c. - Volume applied (ML),43240.46,198.92,Water use,Other crops n.e.c.,Volume applied (ML),
4,South Australia,"Water use - Pastures (including lucerne), cereal and other crops cut for hay and silage - Total area grown (ha)",375350.04,3577.02,Water use,Pastures (including lucerne) and cereal crops cut for hay and silage ,Total area grown (ha),
4,South Australia,Water use - Pastures (including lucerne) and cereal crops cut for hay and silage - Area watered (ha),15946.47,369.33,Water use,Pastures (including lucerne) and cereal crops cut for hay and silage ,Area watered (ha),
4,South Australia,Water use - Pastures (including lucerne) and cereal crops cut for hay and silage - Volume applied (ML),80901.39,369.33,Water use,Pastures (including lucerne) and cereal crops cut for hay and silage ,Volume applied (ML),
4,South Australia,Water use - Vegetables - Total area grown (ha),12190.42,403.82,Water use,Vegetables ,Total area grown (ha),
4,South Australia,Water use - Vegetables - Area watered (ha),11422.21,360.96,Water use,Vegetables ,Area watered (ha),
4,South Australia,Water use - Vegetables - Volume applied (ML),54376.93,360.96,Water use,Vegetables ,Volume applied (ML),
4,South Australia,"Water use - Fruit trees, nut trees, plantation or berry fruits - Total area grown (ha)",22788.35,659.59,Water use,"Fruit trees, nut trees, plantation or berry fruits ",Total area grown (ha),
4,South Australia,"Water use - Fruit trees, nut trees, plantation or berry fruits - Area watered (ha)",21638.71,538.19,Water use,"Fruit trees, nut trees, plantation or berry fruits ",Area watered (ha),
4,South Australia,"Water use - Fruit trees, nut trees, plantation or berry fruits - Volume applied (ML)",178887.58,538.19,Water use,"Fruit trees, nut trees, plantation or berry fruits ",Volume applied (ML),
4,South Australia,Water use - Grapevines - Total area grown (ha),68372.37,1755.62,Water use,Grapevines ,Total area grown (ha),
4,South Australia,Water use - Grapevines - Area watered (ha),65655.34,1648.77,Water use,Grapevines ,Area watered (ha),
4,South Australia,Water use - Grapevines - Volume applied (ML),215965.22,1648.77,Water use,Grapevines ,Volume applied (ML),
4,South Australia,"Water use - Nurseries, cut flowers and cultivated turf - Total area grown (ha)",842.49,128.97,Water use,"Nurseries, cut flowers and cultivated turf ",Total area grown (ha),
4,South Australia,"Water use - Nurseries, cut flowers and cultivated turf - Area watered (ha)",628.9,73.42,Water use,"Nurseries, cut flowers and cultivated turf ",Area watered (ha),
4,South Australia,"Water use - Nurseries, cut flowers and cultivated turf - Volume applied (ML)",3137.21,73.42,Water use,"Nurseries, cut flowers and cultivated turf ",Volume applied (ML),
4,South Australia,"Water use - Cereals for grain or seed, excluding rice - Total area grown (ha)",2901365.04,4040.4,Water use,"Cereals for grain or seed, excluding rice ",Total area grown (ha),1
4,South Australia,"Water use - Cereals for grain or seed, excluding rice - Area watered (ha)",7230.24,49.2,Water use,"Cereals for grain or seed, excluding rice ",Area watered (ha),
4,South Australia,"Water use - Cereals for grain or seed, excluding rice - Volume applied (ML)",10224.2,49.2,Water use,"Cereals for grain or seed, excluding rice ",Volume applied (ML),
4,South Australia,Water use - Other crops n.e.c. - Total area grown (ha) (e),623079.25,2319.68,Water use,Other crops n.e.c.,Total area grown (ha) (e),
4,South Australia,Water use - Other crops n.e.c. - Area watered (ha),5228.22,54.91,Water use,Other crops n.e.c.,Area watered (ha),
4,South Australia,Water use - Other crops n.e.c. - Volume applied (ML),22055.63,54.91,Water use,Other crops n.e.c.,Volume applied (ML),
5,Western Australia,"Water use - Pastures (including lucerne), cereal and other crops cut for hay and silage - Total area grown (ha)",286985.63,2620.72,Water use,Pastures (including lucerne) and cereal crops cut for hay and silage ,Total area grown (ha),
5,Western Australia,Water use - Pastures (including lucerne) and cereal crops cut for hay and silage - Area watered (ha),5071.92,58.68,Water use,Pastures (including lucerne) and cereal crops cut for hay and silage ,Area watered (ha),
5,Western Australia,Water use - Pastures (including lucerne) and cereal crops cut for hay and silage - Volume applied (ML),9452.45,58.68,Water use,Pastures (including lucerne) and cereal crops cut for hay and silage ,Volume applied (ML),
5,Western Australia,Water use - Vegetables - Total area grown (ha),9329.58,342.16,Water use,Vegetables ,Total area grown (ha),
5,Western Australia,Water use - Vegetables - Area watered (ha),7944.84,307.81,Water use,Vegetables ,Area watered (ha),
5,Western Australia,Water use - Vegetables - Volume applied (ML),53224.26,307.81,Water use,Vegetables ,Volume applied (ML),
5,Western Australia,"Water use - Fruit trees, nut trees, plantation or berry fruits - Total area grown (ha)",9042.9,555.86,Water use,"Fruit trees, nut trees, plantation or berry fruits ",Total area grown (ha),
5,Western Australia,"Water use - Fruit trees, nut trees, plantation or berry fruits - Area watered (ha)",8287.69,497.03,Water use,"Fruit trees, nut trees, plantation or berry fruits ",Area watered (ha),
5,Western Australia,"Water use - Fruit trees, nut trees, plantation or berry fruits - Volume applied (ML)",45159.48,497.03,Water use,"Fruit trees, nut trees, plantation or berry fruits ",Volume applied (ML),
5,Western Australia,Water use - Grapevines - Total area grown (ha),7764.44,355.94,Water use,Grapevines ,Total area grown (ha),
5,Western Australia,Water use - Grapevines - Area watered (ha),6285.68,249.19,Water use,Grapevines ,Area watered (ha),
5,Western Australia,Water use - Grapevines - Volume applied (ML),11039.61,249.19,Water use,Grapevines ,Volume applied (ML),
5,Western Australia,"Water use - Nurseries, cut flowers and cultivated turf - Total area grown (ha)",1237.11,166.38,Water use,"Nurseries, cut flowers and cultivated turf ",Total area grown (ha),
5,Western Australia,"Water use - Nurseries, cut flowers and cultivated turf - Area watered (ha)",1025.24,127.51,Water use,"Nurseries, cut flowers and cultivated turf ",Area watered (ha),
5,Western Australia,"Water use - Nurseries, cut flowers and cultivated turf - Volume applied (ML)",9189.31,127.51,Water use,"Nurseries, cut flowers and cultivated turf ",Volume applied (ML),
5,Western Australia,"Water use - Cereals for grain or seed, excluding rice - Total area grown (ha)",6371260.12,4173.2,Water use,"Cereals for grain or seed, excluding rice ",Total area grown (ha),1
5,Western Australia,"Water use - Cereals for grain or seed, excluding rice - Area watered (ha)",10478.04,22.18,Water use,"Cereals for grain or seed, excluding rice ",Area watered (ha),
5,Western Australia,"Water use - Cereals for grain or seed, excluding rice - Volume applied (ML)",33425.83,22.18,Water use,"Cereals for grain or seed, excluding rice ",Volume applied (ML),
5,Western Australia,Water use - Cotton - Total area grown (ha) (c),190,2,Water use,Cotton , Total area grown (ha) (c),
5,Western Australia,Water use - Cotton - Area watered (ha),190,2,Water use,Cotton ,Area watered (ha),
5,Western Australia,Water use - Cotton - Volume applied (ML),16440,2,Water use,Cotton ,Volume applied (ML),
5,Western Australia,Water use - Sugar cane - Total area grown (ha) (d),2,1,Water use,Sugar cane ,Total area grown (ha) (d),
5,Western Australia,Water use - Other crops n.e.c. - Total area grown (ha) (e),1810126.13,2935.39,Water use,Other crops n.e.c.,Total area grown (ha) (e),
5,Western Australia,Water use - Other crops n.e.c. - Area watered (ha),10258.59,42.11,Water use,Other crops n.e.c.,Area watered (ha),
5,Western Australia,Water use - Other crops n.e.c. - Volume applied (ML),7503.95,42.11,Water use,Other crops n.e.c.,Volume applied (ML),
6,Tasmania,"Water use - Pastures (including lucerne), cereal and other crops cut for hay and silage - Total area grown (ha)",np,1232.18,Water use,Pastures (including lucerne) and cereal crops cut for hay and silage ,Total area grown (ha),
6,Tasmania,Water use - Pastures (including lucerne) and cereal crops cut for hay and silage - Area watered (ha),10249.97,264.62,Water use,Pastures (including lucerne) and cereal crops cut for hay and silage ,Area watered (ha),
6,Tasmania,Water use - Pastures (including lucerne) and cereal crops cut for hay and silage - Volume applied (ML),25326.52,264.62,Water use,Pastures (including lucerne) and cereal crops cut for hay and silage ,Volume applied (ML),
6,Tasmania,Water use - Vegetables - Total area grown (ha),11504.63,356.69,Water use,Vegetables ,Total area grown (ha),
6,Tasmania,Water use - Vegetables - Area watered (ha),9872.04,312.12,Water use,Vegetables ,Area watered (ha),
6,Tasmania,Water use - Vegetables - Volume applied (ML),35604.8,312.12,Water use,Vegetables ,Volume applied (ML),1
6,Tasmania,"Water use - Fruit trees, nut trees, plantation or berry fruits - Total area grown (ha)",3143.2,190.7,Water use,"Fruit trees, nut trees, plantation or berry fruits ",Total area grown (ha),
6,Tasmania,"Water use - Fruit trees, nut trees, plantation or berry fruits - Area watered (ha)",2795.33,136.39,Water use,"Fruit trees, nut trees, plantation or berry fruits ",Area watered (ha),
6,Tasmania,"Water use - Fruit trees, nut trees, plantation or berry fruits - Volume applied (ML)",13922.71,136.39,Water use,"Fruit trees, nut trees, plantation or berry fruits ",Volume applied (ML),
6,Tasmania,Water use - Grapevines - Total area grown (ha),1553.73,122.81,Water use,Grapevines ,Total area grown (ha),
6,Tasmania,Water use - Grapevines - Area watered (ha),1394.34,98.22,Water use,Grapevines ,Area watered (ha),
6,Tasmania,Water use - Grapevines - Volume applied (ML),2963.06,98.22,Water use,Grapevines ,Volume applied (ML),
6,Tasmania,"Water use - Nurseries, cut flowers and cultivated turf - Total area grown (ha)",np,82.47,Water use,"Nurseries, cut flowers and cultivated turf ",Total area grown (ha),
6,Tasmania,"Water use - Nurseries, cut flowers and cultivated turf - Area watered (ha)",245.81,49.89,Water use,"Nurseries, cut flowers and cultivated turf ",Area watered (ha),
6,Tasmania,"Water use - Nurseries, cut flowers and cultivated turf - Volume applied (ML)",513.19,49.89,Water use,"Nurseries, cut flowers and cultivated turf ",Volume applied (ML),
6,Tasmania,"Water use - Cereals for grain or seed, excluding rice - Total area grown (ha)",15298.12,302.65,Water use,"Cereals for grain or seed, excluding rice ",Total area grown (ha),
6,Tasmania,"Water use - Cereals for grain or seed, excluding rice - Area watered (ha)",4828.7,70.91,Water use,"Cereals for grain or seed, excluding rice ",Area watered (ha),
6,Tasmania,"Water use - Cereals for grain or seed, excluding rice - Volume applied (ML)",12111.07,70.91,Water use,"Cereals for grain or seed, excluding rice ",Volume applied (ML),
6,Tasmania,Water use - Other crops n.e.c. - Total area grown (ha) (e),16393.27,376.17,Water use,Other crops n.e.c.,Total area grown (ha) (e),
6,Tasmania,Water use - Other crops n.e.c. - Area watered (ha),10930.46,277.79,Water use,Other crops n.e.c.,Area watered (ha),
6,Tasmania,Water use - Other crops n.e.c. - Volume applied (ML),29787.25,277.79,Water use,Other crops n.e.c.,Volume applied (ML),
7,Northern Territory,"Water use - Pastures (including lucerne), cereal and other crops cut for hay and silage - Total area grown (ha)",10636.22,43.78,Water use,Pastures (including lucerne) and cereal crops cut for hay and silage ,Total area grown (ha),
7,Northern Territory,Water use - Pastures (including lucerne) and cereal crops cut for hay and silage - Area watered (ha),384.32,8.49,Water use,Pastures (including lucerne) and cereal crops cut for hay and silage ,Area watered (ha),
7,Northern Territory,Water use - Pastures (including lucerne) and cereal crops cut for hay and silage - Volume applied (ML),4024.3,8.49,Water use,Pastures (including lucerne) and cereal crops cut for hay and silage ,Volume applied (ML),
7,Northern Territory,Water use - Vegetables - Total area grown (ha),1064.45,56.67,Water use,Vegetables ,Total area grown (ha),
7,Northern Territory,Water use - Vegetables - Area watered (ha),983.09,52.87,Water use,Vegetables ,Area watered (ha),
7,Northern Territory,Water use - Vegetables - Volume applied (ML),4791.28,52.87,Water use,Vegetables ,Volume applied (ML),
7,Northern Territory,"Water use - Fruit trees, nut trees, plantation or berry fruits - Total area grown (ha)",3661.15,112.39,Water use,"Fruit trees, nut trees, plantation or berry fruits ",Total area grown (ha),
7,Northern Territory,"Water use - Fruit trees, nut trees, plantation or berry fruits - Area watered (ha)",3031.9,98.66,Water use,"Fruit trees, nut trees, plantation or berry fruits ",Area watered (ha),
7,Northern Territory,"Water use - Fruit trees, nut trees, plantation or berry fruits - Volume applied (ML)",12918.61,98.66,Water use,"Fruit trees, nut trees, plantation or berry fruits ",Volume applied (ML),1
7,Northern Territory,Water use - Grapevines - Total area grown (ha),60,1,Water use,Grapevines ,Total area grown (ha),
7,Northern Territory,Water use - Grapevines - Area watered (ha),60,1,Water use,Grapevines ,Area watered (ha),
7,Northern Territory,Water use - Grapevines - Volume applied (ML),600,1,Water use,Grapevines ,Volume applied (ML),
7,Northern Territory,"Water use - Nurseries, cut flowers and cultivated turf - Total area grown (ha)",np,15.68,Water use,"Nurseries, cut flowers and cultivated turf ",Total area grown (ha),
7,Northern Territory,"Water use - Nurseries, cut flowers and cultivated turf - Area watered (ha)",np,11.93,Water use,"Nurseries, cut flowers and cultivated turf ",Area watered (ha),
7,Northern Territory,"Water use - Nurseries, cut flowers and cultivated turf - Volume applied (ML)",np,11.93,Water use,"Nurseries, cut flowers and cultivated turf ",Volume applied (ML),
7,Northern Territory,Water use - Rice - Total area grown (ha),123.09,1.54,Water use,Rice ,Total area grown (ha),
7,Northern Territory,Water use - Rice - Area watered (ha),123.09,1.54,Water use,Rice ,Area watered (ha),
7,Northern Territory,Water use - Rice - Volume applied (ML),1230.9,1.54,Water use,Rice ,Volume applied (ML),
7,Northern Territory,"Water use - Cereals for grain or seed, excluding rice - Total area grown (ha)",np,2.26,Water use,"Cereals for grain or seed, excluding rice ",Total area grown (ha),
7,Northern Territory,Water use - Cotton - Total area grown (ha) (c),300,1,Water use,Cotton , Total area grown (ha) (c),
7,Northern Territory,Water use - Cotton - Area watered (ha),100,1,Water use,Cotton ,Area watered (ha),
7,Northern Territory,Water use - Cotton - Volume applied (ML),300,1,Water use,Cotton ,Volume applied (ML),
7,Northern Territory,Water use - Other crops n.e.c. - Total area grown (ha) (e),107.51,1.26,Water use,Other crops n.e.c.,Total area grown (ha) (e),
7,Northern Territory,Water use - Other crops n.e.c. - Area watered (ha),4.9,1.23,Water use,Other crops n.e.c.,Area watered (ha),
7,Northern Territory,Water use - Other crops n.e.c. - Volume applied (ML),229.3,1.23,Water use,Other crops n.e.c.,Volume applied (ML),
8,Australian Capital Territory,"Water use - Pastures (including lucerne), cereal and other crops cut for hay and silage - Total area grown (ha)",np,1.3,Water use,Pastures (including lucerne) and cereal crops cut for hay and silage ,Total area grown (ha),
8,Australian Capital Territory,"Water use - Fruit trees, nut trees, plantation or berry fruits - Total area grown (ha)",6.48,4.22,Water use,"Fruit trees, nut trees, plantation or berry fruits ",Total area grown (ha),
8,Australian Capital Territory,"Water use - Fruit trees, nut trees, plantation or berry fruits - Area watered (ha)",6.48,4.22,Water use,"Fruit trees, nut trees, plantation or berry fruits ",Area watered (ha),
8,Australian Capital Territory,"Water use - Fruit trees, nut trees, plantation or berry fruits - Volume applied (ML)",28.16,4.22,Water use,"Fruit trees, nut trees, plantation or berry fruits ",Volume applied (ML),1
8,Australian Capital Territory,Water use - Grapevines - Total area grown (ha),9.3,1,Water use,Grapevines ,Total area grown (ha),
8,Australian Capital Territory,Water use - Grapevines - Area watered (ha),9.3,1,Water use,Grapevines ,Area watered (ha),
8,Australian Capital Territory,Water use - Grapevines - Volume applied (ML),27.9,1,Water use,Grapevines ,Volume applied (ML),
8,Australian Capital Territory,"Water use - Nurseries, cut flowers and cultivated turf - Total area grown (ha)",np,2.41,Water use,"Nurseries, cut flowers and cultivated turf ",Total area grown (ha),
8,Australian Capital Territory,"Water use - Nurseries, cut flowers and cultivated turf - Area watered (ha)",np,2.41,Water use,"Nurseries, cut flowers and cultivated turf ",Area watered (ha),
8,Australian Capital Territory,"Water use - Nurseries, cut flowers and cultivated turf - Volume applied (ML)",np,2.41,Water use,"Nurseries, cut flowers and cultivated turf ",Volume applied (ML),
8,Australian Capital Territory,"Water use - Cereals for grain or seed, excluding rice - Total area grown (ha)",np,2.59,Water use,"Cereals for grain or seed, excluding rice ",Total area grown (ha),