Area,Variable,Year,Value
Afghanistan,Agriculture,2017,0.120556899
Afghanistan,Industrial,2017,28.22928878
Afghanistan,Services,2017,57.1486223
Albania,Agriculture,2017,1.220289415
Albania,Industrial,2017,9.331023806
Albania,Services,2017,21.85223857
Algeria,Agriculture,2017,0.618339914
Algeria,Industrial,2017,329.8714798
Algeria,Services,2017,23.06878664
Angola,Agriculture,2017,0.247981848
Angola,Industrial,2017,196.7907091
Angola,Services,2017,167.0308793
Antigua and Barbuda,Agriculture,2017,1.869824499
Antigua and Barbuda,Industrial,2017,88.3892972
Antigua and Barbuda,Services,2017,144.2791448
Argentina,Agriculture,2017,0.118292364
Argentina,Industrial,2017,32.63959504
Argentina,Services,2017,65.05495629
Armenia,Agriculture,2017,0.300616425
Armenia,Industrial,2017,19.71887005
Armenia,Services,2017,10.20602621
Australia,Agriculture,2017,0.469945848
Australia,Industrial,2017,106.2610897
Australia,Services,2017,267.9002194
Austria,Agriculture,2017,3.364716309
Austria,Industrial,2017,33.98988045
Austria,Services,2017,360.9824209
Azerbaijan,Agriculture,2017,0.223641979
Azerbaijan,Industrial,2017,8.12191345
Azerbaijan,Services,2017,44.27965028
Bahamas,Services,2017,290.5811545
Bahrain,Agriculture,2017,0.621394286
Bahrain,Industrial,2017,948.6757614
Bahrain,Services,2017,71.26599796
Bangladesh,Agriculture,2017,0.745527094
Bangladesh,Industrial,2017,76.68480614
Bangladesh,Services,2017,34.02017607
Barbados,Agriculture,2017,0.911930449
Barbados,Industrial,2017,82.53681064
Barbados,Services,2017,182.9075045
Belarus,Agriculture,2017,0.065944778
Belarus,Industrial,2017,35.14188205
Belarus,Services,2017,55.72852848
Belgium,Agriculture,2017,0.79485342
Belgium,Industrial,2017,25.46683152
Belgium,Services,2017,462.6053234
Belize,Agriculture,2017,0.145567212
Belize,Industrial,2017,8.619814833
Belize,Services,2017,100.7811275
Benin,Agriculture,2017,0.326537341
Benin,Industrial,2017,64.62042974
Benin,Services,2017,30.49245736
Bhutan,Agriculture,2017,0.539235505
Bhutan,Industrial,2017,212.2096371
Bhutan,Services,2017,68.98538496
Bolivia (Plurinational State of),Agriculture,2017,0.253041739
Bolivia (Plurinational State of),Industrial,2017,271.4587802
Bolivia (Plurinational State of),Services,2017,134.1179243
Bosnia and Herzegovina,Industrial,2017,45.82621452
Bosnia and Herzegovina,Services,2017,28.98128797
Botswana,Agriculture,2017,0.085727051
Botswana,Industrial,2017,190.8515472
Botswana,Services,2017,92.47001019
Brazil,Agriculture,2017,0.290401779
Brazil,Industrial,2017,30.62953569
Brazil,Services,2017,68.27391958
Brunei Darussalam,Agriculture,2017,3.954019129
Brunei Darussalam,Services,2017,35.26472919
Bulgaria,Agriculture,2017,0.092003904
Bulgaria,Industrial,2017,2.727198563
Bulgaria,Services,2017,38.59972555
Burkina Faso,Agriculture,2017,0.056650576
Burkina Faso,Industrial,2017,146.8388122
Burkina Faso,Services,2017,15.71732361
Burundi,Agriculture,2017,0.052767983
Burundi,Industrial,2017,32.04312391
Burundi,Services,2017,28.49268727
Cabo Verde,Agriculture,2017,0.311356749
Cabo Verde,Industrial,2017,680.2347444
Cabo Verde,Services,2017,690.3222951
Cambodia,Agriculture,2017,0.339720711
Cambodia,Industrial,2017,189.7418656
Cambodia,Services,2017,84.98488925
Cameroon,Agriculture,2017,0.043450843
Cameroon,Industrial,2017,76.58152594
Cameroon,Services,2017,72.61639879
Canada,Agriculture,2017,0.39590758
Canada,Industrial,2017,12.97076728
Canada,Services,2017,228.9062645
Central African Republic,Agriculture,2017,0.117386824
Central African Republic,Industrial,2017,37.16369748
Central African Republic,Services,2017,12.88430021
Chad,Agriculture,2017,0.039689259
Chad,Industrial,2017,21.41510026
Chad,Services,2017,49.23288041
Chile,Agriculture,2017,0.248363934
Chile,Industrial,2017,14.10077269
Chile,Services,2017,120.6444373
China,Agriculture,2017,2.05020545
China,Industrial,2017,38.88231194
China,Services,2017,82.77697876
Colombia,Agriculture,2017,0.423221049
Colombia,Industrial,2017,19.19357697
Colombia,Services,2017,52.92872251
Comoros,Agriculture,2017,0.092065402
Comoros,Industrial,2017,248.1332853
Comoros,Services,2017,118.7779456
Congo,Agriculture,2017,0.228561359
Congo,Industrial,2017,167.62043
Congo,Services,2017,76.75644842
Costa Rica,Agriculture,2017,0.404656109
Costa Rica,Industrial,2017,40.08142843
Costa Rica,Services,2017,64.08178021
Côte d'Ivoire,Agriculture,2017,0.216760654
Côte d'Ivoire,Industrial,2017,36.58884034
Côte d'Ivoire,Services,2017,56.04960137
Croatia,Agriculture,2017,0.647232231
Croatia,Industrial,2017,49.95287755
Croatia,Services,2017,72.35590133
Cuba,Agriculture,2017,0.197943337
Cuba,Industrial,2017,27.52399039
Cuba,Services,2017,37.97886591
Cyprus,Agriculture,2017,0.758347712
Cyprus,Industrial,2017,121.8310345
Cyprus,Services,2017,150.7143889
Czechia,Agriculture,2017,1.220257875
Czechia,Industrial,2017,60.91825643
Czechia,Services,2017,188.4611906
Democratic People's Republic of Korea,Agriculture,2017,0.371973227
Democratic People's Republic of Korea,Industrial,2017,5.768086691
Democratic People's Republic of Korea,Services,2017,6.638295568
Democratic Republic of the Congo,Agriculture,2017,0.199548416
Democratic Republic of the Congo,Industrial,2017,104.254882
Democratic Republic of the Congo,Services,2017,32.64941989
Denmark,Agriculture,2017,2.202085382
Denmark,Industrial,2017,1807.129434
Denmark,Services,2017,558.335628
Djibouti,Agriculture,2017,13.0777471
Djibouti,Services,2017,144.5892289
Dominica,Agriculture,2017,0.004059697
Dominica,Services,2017,17.40910456
Dominican Republic,Agriculture,2017,0.205185022
Dominican Republic,Industrial,2017,28.85673806
Dominican Republic,Services,2017,55.60921502
Ecuador,Agriculture,2017,0.676427587
Ecuador,Industrial,2017,56.27330857
Ecuador,Services,2017,41.13831015
Egypt,Agriculture,2017,0.646655587
Egypt,Industrial,2017,20.14163611
Egypt,Services,2017,17.76373953
El Salvador,Agriculture,2017,0.043892912
El Salvador,Industrial,2017,25.01515916
El Salvador,Services,2017,33.26626483
Equatorial Guinea,Industrial,2017,2136.603056
Equatorial Guinea,Services,2017,317.1616864
Eritrea,Agriculture,2017,0.031105156
Eritrea,Industrial,2017,1051.063947
Eritrea,Services,2017,94.57610255
Estonia,Agriculture,2017,0.110995472
Estonia,Industrial,2017,2.966044938
Estonia,Services,2017,269.2880894
Eswatini,Agriculture,2017,0.107163781
Eswatini,Industrial,2017,66.15353018
Eswatini,Services,2017,55.57941303
Ethiopia,Agriculture,2017,0.08261782
Ethiopia,Industrial,2017,331.9869228
Ethiopia,Services,2017,34.29268734
Fiji,Agriculture,2017,0.299503669
Fiji,Industrial,2017,72.27030711
Fiji,Services,2017,109.4015814
Finland,Agriculture,2017,0.364372214
Finland,Industrial,2017,38.04234507
Finland,Services,2017,387.0379269
France,Agriculture,2017,1.636543645
France,Industrial,2017,20.9417578
France,Services,2017,352.7879286
Gabon,Agriculture,2017,0.236123165
Gabon,Industrial,2017,462.6100896
Gabon,Services,2017,78.54726078
Gambia,Agriculture,2017,0.060025871
Gambia,Industrial,2017,11.38765256
Gambia,Services,2017,19.63335475
Georgia,Agriculture,2017,0.391925758
Georgia,Industrial,2017,7.025717116
Georgia,Services,2017,28.2189311
Germany,Agriculture,2017,3.351689352
Germany,Industrial,2017,44.44991706
Germany,Services,2017,515.7246359
Ghana,Agriculture,2017,0.141836704
Ghana,Industrial,2017,162.9373773
Ghana,Services,2017,82.64099142
Greece,Agriculture,2017,0.440354661
Greece,Industrial,2017,114.1795652
Greece,Services,2017,71.7890768
Grenade,Agriculture,2017,2.461727322
Grenade,Services,2017,62.75124515
Guatemala,Agriculture,2017,1.065568634
Guatemala,Industrial,2017,25.6713835
Guatemala,Services,2017,52.1733048
Guinea,Agriculture,2017,0.069143598
Guinea,Industrial,2017,61.1097434
Guinea,Services,2017,20.96234414
Guinea-Bissau,Agriculture,2017,0.110060119
Guinea-Bissau,Industrial,2017,11.85644916
Guinea-Bissau,Services,2017,11.50901687
Guyana,Agriculture,2017,0.169910083
Guyana,Industrial,2017,51.18752206
Guyana,Services,2017,24.65295182
Haiti,Agriculture,2017,0.204239856
Haiti,Industrial,2017,51.51874432
Haiti,Services,2017,22.21974976
Honduras,Agriculture,2017,0.205350533
Honduras,Industrial,2017,47.24389991
Honduras,Services,2017,43.3012403
Hungary,Agriculture,2017,0.331686268
Hungary,Industrial,2017,9.231306152
Hungary,Services,2017,122.2040724
Iceland,Agriculture,2017,0.702832207
Iceland,Industrial,2017,15.29440188
Iceland,Services,2017,165.0904779
India,Agriculture,2017,0.408851817
India,Industrial,2017,35.16701869
India,Services,2017,22.63096759
Indonesia,Agriculture,2017,0.23915298
Indonesia,Industrial,2017,39.64564048
Indonesia,Services,2017,17.91093912
Iran (Islamic Republic of),Agriculture,2017,0.374489768
Iran (Islamic Republic of),Industrial,2017,129.2750653
Iran (Islamic Republic of),Services,2017,43.70831143
Iraq,Agriculture,2017,0.086863562
Iraq,Industrial,2017,42.59664371
Iraq,Services,2017,75.08878497
Ireland,Agriculture,2017,0.094563183
Ireland,Industrial,2017,2206.286394
Ireland,Services,2017,298.9095286
Israel,Agriculture,2017,1.475294063
Israel,Industrial,2017,794.4120747
Israel,Services,2017,234.4119527
Italy,Agriculture,2017,0.917270035
Italy,Industrial,2017,46.52887329
Italy,Services,2017,137.1400133
Jamaica,Agriculture,2017,1.707760683
Jamaica,Industrial,2017,2.19278051
Jamaica,Services,2017,65.01476913
Japan,Agriculture,2017,0.74200861
Japan,Industrial,2017,102.8591893
Japan,Services,2017,209.5284879
Jordan,Agriculture,2017,2.148811046
Jordan,Industrial,2017,293.4503509
Jordan,Services,2017,56.4580219
Kazakhstan,Agriculture,2017,0.040001012
Kazakhstan,Industrial,2017,8.444551563
Kazakhstan,Services,2017,48.95164829
Kenya,Agriculture,2017,0.228062408
Kenya,Industrial,2017,33.69755832
Kenya,Services,2017,63.8280281
Kuwait,Agriculture,2017,0.746018913
Kuwait,Industrial,2017,2535.556035
Kuwait,Services,2017,152.5435272
Kyrgyzstan,Agriculture,2017,0.108203205
Kyrgyzstan,Industrial,2017,5.329101913
Kyrgyzstan,Services,2017,17.17159633
Lao People's Democratic Republic,Agriculture,2017,0.121899463
Lao People's Democratic Republic,Industrial,2017,19.47389108
Lao People's Democratic Republic,Services,2017,66.26894121
Latvia,Agriculture,2017,0.013705917
Latvia,Industrial,2017,182.9953741
Latvia,Services,2017,205.1744048
Lebanon,Agriculture,2017,1.410902116
Lebanon,Industrial,2017,7.057737771
Lebanon,Services,2017,165.9926106
Lesotho,Agriculture,2017,0.015886049
Lesotho,Industrial,2017,33.22105521
Lesotho,Services,2017,74.73357964
Liberia,Agriculture,2017,0.034143291
Liberia,Industrial,2017,3.260132689
Liberia,Services,2017,5.350061199
Libya,Agriculture,2017,0.016367317
Libya,Industrial,2017,52.18621218
Libya,Services,2017,10.60328281
Liechtenstein,Services,2017,441.8708319
Lithuania,Agriculture,2017,0.033542823
Lithuania,Industrial,2017,147.6332648
Lithuania,Services,2017,214.0718319
Luxembourg,Agriculture,2017,0
Luxembourg,Industrial,2017,3874.877551
Luxembourg,Services,2017,1134.875658
Madagascar,Agriculture,2017,0.105191422
Madagascar,Industrial,2017,14.53548875
Madagascar,Services,2017,16.09037337
Malawi,Agriculture,2017,0.034947993
Malawi,Industrial,2017,18.6501543
Malawi,Services,2017,22.90546545
Malaysia,Agriculture,2017,0.997881077
Malaysia,Industrial,2017,72.11192086
Malaysia,Services,2017,134.9948831
Maldives,Industrial,2017,1497.595986
Maldives,Services,2017,591.3703818
Mali,Agriculture,2017,0.043689701
Mali,Industrial,2017,695.7732313
Mali,Services,2017,55.37180073
Malta,Agriculture,2017,1.498186365
Malta,Industrial,2017,1257.909165
Malta,Services,2017,246.3816256
Mauritania,Agriculture,2017,0.331365854
Mauritania,Industrial,2017,50.38587274
Mauritania,Services,2017,33.20123971
Mauritius,Agriculture,2017,0.354810127
Mauritius,Industrial,2017,166.1015542
Mauritius,Services,2017,33.56314317
Mexico,Agriculture,2017,0.246428357
Mexico,Industrial,2017,51.73671558
Mexico,Services,2017,53.9224876
Monaco,Services,2017,1090.373688
Mongolia,Agriculture,2017,0.522252748
Mongolia,Industrial,2017,27.42902822
Mongolia,Services,2017,123.6478461
Montenegro,Agriculture,2017,45.85159709
Montenegro,Industrial,2017,7.542811795
Montenegro,Services,2017,29.07626479
Morocco,Agriculture,2017,0.42631716
Morocco,Industrial,2017,123.0274495
Morocco,Services,2017,54.56574925
Mozambique,Agriculture,2017,0.05874665
Mozambique,Industrial,2017,144.8743808
Mozambique,Services,2017,20.26640458
Myanmar,Agriculture,2017,0.168960054
Myanmar,Industrial,2017,49.58149569
Myanmar,Services,2017,8.871318238
Namibia,Agriculture,2017,0.066692575
Namibia,Industrial,2017,217.0511157
Namibia,Services,2017,97.075554
Nepal,Agriculture,2017,0.606124211
Nepal,Industrial,2017,92.82768862
Nepal,Services,2017,80.04469386
Netherlands,Agriculture,2017,56.97579314
Netherlands,Industrial,2017,8.960620813
Netherlands,Services,2017,455.7878543
New Zealand,Agriculture,2017,2.876699109
New Zealand,Industrial,2017,28.55956957
New Zealand,Services,2017,160.7030088
Nicaragua,Agriculture,2017,0.214727002
Nicaragua,Industrial,2017,41.03740522
Nicaragua,Services,2017,26.11361981
Niger,Agriculture,2017,0.004195978
Niger,Industrial,2017,55.53536728
Niger,Services,2017,24.06100374
Nigeria,Agriculture,2017,0.219109025
Nigeria,Industrial,2017,53.91388678
Nigeria,Services,2017,55.4563992
North Macedonia,Agriculture,2017,0.682738114
North Macedonia,Industrial,2017,9.565521438
North Macedonia,Services,2017,21.92756161
Norway,Agriculture,2017,1.077241275
Norway,Industrial,2017,101.3402936
Norway,Services,2017,305.8184886
Oman,Agriculture,2017,0.910501427
Oman,Industrial,2017,260.6077301
Oman,Services,2017,252.6789939
Pakistan,Agriculture,2017,0.300302743
Pakistan,Industrial,2017,34.35266781
Pakistan,Services,2017,16.94186608
Palestine,Agriculture,2017,5.983791909
Palestine,Industrial,2017,83.32767373
Palestine,Services,2017,51.88716255
Panama,Agriculture,2017,0.300032249
Panama,Industrial,2017,2668.836476
Panama,Services,2017,52.24788137
Papua New Guinea,Industrial,2017,38.6455249
Papua New Guinea,Services,2017,48.521387
Paraguay,Agriculture,2017,0.149647078
Paraguay,Industrial,2017,66.98794908
Paraguay,Services,2017,61.4756478
Peru,Agriculture,2017,0.389802294
Peru,Industrial,2017,282.2199782
Peru,Services,2017,40.79563564
Philippines,Agriculture,2017,0.169571645
Philippines,Industrial,2017,5.759728505
Philippines,Services,2017,23.54956288
Poland,Agriculture,2017,0.151468279
Poland,Industrial,2017,18.10813754
Poland,Services,2017,153.6915502
Portugal,Agriculture,2017,0.185083339
Portugal,Industrial,2017,22.71475559
Portugal,Services,2017,157.3123923
Puerto Rico,Agriculture,2017,1.871606238
Puerto Rico,Industrial,2017,20.65520196
Puerto Rico,Services,2017,63.00444432
Qatar,Agriculture,2017,1.068392839
Qatar,Industrial,2017,653.111756
Qatar,Services,2017,169.1657487
Republic of Korea,Agriculture,2017,1.58784407
Republic of Korea,Industrial,2017,113.9902195
Republic of Korea,Services,2017,133.0511521
Republic of Moldova,Agriculture,2017,0.657892629
Republic of Moldova,Industrial,2017,2.433093361
Republic of Moldova,Services,2017,32.25870907
Romania,Agriculture,2017,0.269568242
Romania,Industrial,2017,12.14030921
Romania,Services,2017,115.2334737
Russian Federation,Agriculture,2017,0.055621121
Russian Federation,Industrial,2017,13.68736943
Russian Federation,Services,2017,46.42445997
Rwanda,Agriculture,2017,0.112587067
Rwanda,Industrial,2017,64.07272164
Rwanda,Services,2017,72.81783121
Saint Kitts and Nevis,Agriculture,2017,0.448104685
Saint Kitts and Nevis,Services,2017,40.12890259
Saint Lucia,Agriculture,2017,0.001529112
Saint Lucia,Services,2017,108.4172623
Saint Vincent and the Grenadines,Industrial,2017,46146.99825
Saint Vincent and the Grenadines,Services,2017,59.83595734
Sao Tome and Principe,Agriculture,2017,0.301872955
Sao Tome and Principe,Industrial,2017,77.18873232
Sao Tome and Principe,Services,2017,17.16225414
Saudi Arabia,Agriculture,2017,0.86951537
Saudi Arabia,Industrial,2017,292.330248
Saudi Arabia,Services,2017,111.4611309
Senegal,Agriculture,2017,0.083592708
Senegal,Industrial,2017,74.69183753
Senegal,Services,2017,111.4267316
Serbia,Agriculture,2017,0.122283527
Serbia,Industrial,2017,2.239831204
Serbia,Services,2017,34.29696713
Seychelles,Agriculture,2017,7.351763313
Seychelles,Industrial,2017,34.96573337
Seychelles,Services,2017,120.4710235
Sierra Leone,Agriculture,2017,0.117383724
Sierra Leone,Industrial,2017,4.1658165
Sierra Leone,Services,2017,13.5402154
Singapore,Industrial,2017,214.6313212
Singapore,Services,2017,791.6287786
Slovakia,Agriculture,2017,2.21669565
Slovakia,Industrial,2017,103.6119541
Slovakia,Services,2017,195.1671104
Slovenia,Agriculture,2017,4.116669124
Slovenia,Industrial,2017,15.75356953
Slovenia,Services,2017,163.2471865
Somalia,Agriculture,2017,0.032626872
Somalia,Industrial,2017,49.39703168
Somalia,Services,2017,29.81020879
South Africa,Agriculture,2017,0.165698482
South Africa,Industrial,2017,18.05340703
South Africa,Services,2017,53.51851434
South Sudan,Agriculture,2017,0.028995838
South Sudan,Industrial,2017,27.24406445
South Sudan,Services,2017,33.59294309
Spain,Agriculture,2017,0.498216207
Spain,Industrial,2017,36.18140482
Spain,Services,2017,183.4523555
Sri Lanka,Agriculture,2017,0.264393175
Sri Lanka,Industrial,2017,27.59762039
Sri Lanka,Services,2017,61.30452771
Sudan,Agriculture,2017,0.209490508
Sudan,Industrial,2017,200.3765465
Sudan,Services,2017,53.74148866
Suriname,Agriculture,2017,1.085369096
Suriname,Industrial,2017,10.5621958
Suriname,Services,2017,47.68401485
Sweden,Agriculture,2017,3.750993429
Sweden,Industrial,2017,76.94651345
Sweden,Services,2017,373.9866352
Switzerland,Agriculture,2017,4.157168287
Switzerland,Industrial,2017,254.7975193
Switzerland,Services,2017,550.6054582
Syrian Arab Republic,Agriculture,2017,0.102086826
Syrian Arab Republic,Industrial,2017,9.050475021
Syrian Arab Republic,Services,2017,6.351857614
Tajikistan,Agriculture,2017,0.16514932
Tajikistan,Industrial,2017,5.954979436
Tajikistan,Services,2017,5.760621479
Thailand,Agriculture,2017,0.367405243
Thailand,Industrial,2017,50.07213196
Thailand,Services,2017,93.64425379
Timor-Leste,Agriculture,2017,0.064978852
Timor-Leste,Industrial,2017,647.3100794
Timor-Leste,Services,2017,12.61634845
Togo,Agriculture,2017,0.010091787
Togo,Industrial,2017,99.57697918
Togo,Services,2017,16.78216128
Trinidad and Tobago,Agriculture,2017,2.963170024
Trinidad and Tobago,Industrial,2017,64.8699874
Trinidad and Tobago,Services,2017,59.06959285
Tunisia,Agriculture,2017,0.190253599
Tunisia,Industrial,2017,10.14241324
Tunisia,Services,2017,202.0881514
Turkey,Agriculture,2017,0.301934363
Turkey,Industrial,2017,88.96068097
Turkey,Services,2017,87.96150569
Turkmenistan,Agriculture,2017,0.135496058
Turkmenistan,Industrial,2017,27.4460245
Turkmenistan,Services,2017,17.96705173
Uganda,Agriculture,2017,0.04851323
Uganda,Industrial,2017,87.36843182
Uganda,Services,2017,41.92595738
Ukraine,Agriculture,2017,0.059290035
Ukraine,Industrial,2017,5.384617716
Ukraine,Services,2017,21.56430827
United Arab Emirates,Agriculture,2017,0.88097813
United Arab Emirates,Industrial,2017,2099.24194
United Arab Emirates,Services,2017,361.6596597
United Kingdom,Agriculture,2017,0.662033904
United Kingdom,Industrial,2017,465.1084996
United Kingdom,Services,2017,356.7750047
United Republic of Tanzania,Agriculture,2017,0.183338735
United Republic of Tanzania,Industrial,2017,533.9212135
United Republic of Tanzania,Services,2017,41.08346902
United States of America,Agriculture,2017,0.20342327
United States of America,Industrial,2017,15.11522476
United States of America,Services,2017,267.5601732
Uruguay,Agriculture,2017,0.145263338
Uruguay,Industrial,2017,152.9722147
Uruguay,Services,2017,86.36915361
Uzbekistan,Agriculture,2017,0.452452108
Uzbekistan,Industrial,2017,9.786576601
Uzbekistan,Services,2017,13.83945228
Venezuela (Bolivarian Republic of),Agriculture,2017,0.302193611
Venezuela (Bolivarian Republic of),Industrial,2017,102.8102661
Venezuela (Bolivarian Republic of),Services,2017,25.30447213
Viet Nam,Agriculture,2017,0.3736684
Viet Nam,Industrial,2017,20.35148718
Viet Nam,Services,2017,83.84079094
Yemen,Agriculture,2017,0.704123097
Yemen,Industrial,2017,59.507186
Yemen,Services,2017,47.02341106
Zambia,Agriculture,2017,0.031741007
Zambia,Industrial,2017,57.66778058
Zambia,Services,2017,43.21736629
Zimbabwe,Agriculture,2017,0.050244229
Zimbabwe,Industrial,2017,49.21252257
Zimbabwe,Services,2017,27.19448757
 ,,,